fips,year,Arsenic,DEHP,Halo-Acetic Acid,Nitrates,Trihalomethane,Uranium,total_med,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,other,public_admin
34001,2011,0.5450661898169052,,6.0446681081424,508.05967041857843,18.07776824136436,3.5979379104846942,33011.0,124103.0,1169.0,6591.0,4996.0,2946.0,11375.0,4582.0,1213.0,5816.0,8848.0,25986.0,38599.0,5660.0,6322.0
34001,2012,0.3793303398293581,,4.549846741877161,453.9139560390425,18.22254942957739,,32462.0,125961.0,401.0,6944.0,5514.0,1779.0,13809.0,5732.0,2003.0,6131.0,11831.0,29367.0,31277.0,5801.0,5372.0
34001,2013,0.2159202413112212,,6.118052049492292,525.5237868731838,22.66420669548907,,32165.0,125609.0,234.0,8110.0,4403.0,2108.0,15027.0,4292.0,1546.0,6068.0,11129.0,26138.0,35044.0,5603.0,5907.0
34001,2014,0.25471573100352224,,4.798746744550365,487.97900753493616,18.83944537516123,,32198.0,129393.0,181.0,8125.0,5196.0,1700.0,13882.0,5312.0,2272.0,6131.0,12406.0,29167.0,31437.0,4601.0,8983.0
34001,2015,0.24330349777264484,,6.044324190652042,546.3478824360276,21.33907664329847,0.5,32107.0,128434.0,571.0,8405.0,5071.0,2586.0,15182.0,4942.0,1772.0,5854.0,10615.0,30032.0,32801.0,4981.0,5622.0
34001,2016,0.24471441631482208,,4.474336212265066,508.6757751053572,20.928781150143436,0.5,32046.0,124776.0,168.0,6687.0,5815.0,3427.0,14390.0,4819.0,1427.0,5889.0,11067.0,29897.0,29173.0,5352.0,6665.0
34003,1999,6.2117128213962705,,,3183.7827886451473,18.07989675620882,,,,,,,,,,,,,,,,
34003,2000,3.969802394453074,,,3295.671533380234,18.649586731525563,,,,,,,,,,,,,,,,
34003,2001,3.9323696411447475,0.23,,3056.124795570621,16.83125087973504,,,,,,,,,,,,,,,,
34003,2002,3.9061031601045633,,,3021.6544547660246,19.418778151521426,,,,,,,,,,,,,,,,
34003,2003,3.566884799755543,,4.09,3268.935120235531,12.435486631879613,,,,,,,,,,,,,,,,
34003,2004,3.0511381984616364,,14.044145436302479,3467.567724369809,27.215345356547914,,,,,,,,,,,,,,,,
34003,2005,3.5215110568638717,,14.765691552793845,3267.1014784362324,29.083661278922406,2.3712393396812255,,,,,,,,,,,,,,,
34003,2006,2.5415482646182515,,16.615967970742883,3067.2931266045994,32.58290081086295,2.168512107816598,,,,,,,,,,,,,,,
34003,2007,3.0157944393755574,0.3,17.4768760593039,3012.5573087500343,30.79019447020094,1.9679015233236885,,,,,,,,,,,,,,,
34003,2008,1.8909416390124272,0.3,14.337284949902271,2507.671573539325,28.050946155757053,0.8406890222313327,,,,,,,,,,,,,,,
34003,2009,1.8453651710901062,,12.011228792086433,2642.013650187425,25.96708888647204,5.525297443097842,,,,,,,,,,,,,,,
34003,2010,2.213054163489124,0.22,12.198554856012166,2731.996773650822,27.718647857626156,4.55682641146911,48493.0,438302.0,919.0,24897.0,40015.0,19216.0,47458.0,22703.0,16169.0,45159.0,58730.0,99084.0,28699.0,20540.0,14713.0
34003,2011,1.3526481801903305,,10.875707210284437,1915.7286501786368,28.001995186933296,3.499045826763644,49782.0,445855.0,448.0,20761.0,39799.0,19810.0,43915.0,21158.0,14893.0,43183.0,63365.0,107915.0,33799.0,23331.0,13478.0
34003,2012,1.8567092717381941,,11.400541050801143,2421.6361605361844,31.306082008446158,2.35,50235.0,450369.0,367.0,24187.0,38505.0,21694.0,54187.0,20102.0,15772.0,39718.0,61790.0,107157.0,30819.0,22521.0,13550.0
34003,2013,1.7159297725404639,,12.59666768103341,2992.231820632064,29.45134716184325,9.254529737206084,50514.0,452274.0,893.0,23303.0,39974.0,19244.0,44203.0,20076.0,15634.0,40573.0,60182.0,111818.0,39956.0,22004.0,14414.0
34003,2014,0.8322874057638485,,13.135733033340447,3372.630771749809,29.25139513799042,0.9353563844078172,50316.0,473316.0,542.0,24481.0,37806.0,20935.0,56427.0,25299.0,14897.0,41938.0,61537.0,117730.0,34344.0,23350.0,14030.0
34003,2015,0.710742219631697,,14.876993872185137,3052.5430572842793,30.838349724109285,2.4745595015856594,50474.0,477434.0,447.0,25760.0,36740.0,22878.0,54815.0,25033.0,16516.0,48692.0,63735.0,110556.0,35584.0,22880.0,13798.0
34003,2016,1.551248720352822,,13.573919483976585,3321.7867685266056,30.943910060284704,2.28,51063.0,480735.0,539.0,26218.0,39669.0,20103.0,53462.0,22266.0,14460.0,46004.0,69610.0,116098.0,35867.0,24092.0,12347.0
34005,1999,0.885886725638213,,,758.2764846583163,6.988693826527342,,,,,,,,,,,,,,,,
34005,2000,0.7206267425483603,,,981.383984441062,7.751564256255742,,,,,,,,,,,,,,,,
34005,2001,0.6203251864829581,0.3,0.6,915.7245010532298,11.086219682885655,,,,,,,,,,,,,,,,
34005,2002,0.8017106929231363,,4.262179835322947,787.6557993359636,9.871410400239332,,,,,,,,,,,,,,,,
34005,2003,1.0978567946919733,,4.8136058638331365,869.726187916956,9.572296315977535,12.0,,,,,,,,,,,,,,,
34005,2004,0.5691707998024376,,7.207534536883653,723.2034297782471,11.416406543596079,7.5,,,,,,,,,,,,,,,
34005,2005,0.8315884402284912,,5.820896659941717,590.7690982048574,13.78960904274398,5.029519111035443,,,,,,,,,,,,,,,
